VCN.TO,Daily Ret,Ret Sqd,Est Var,Vol,Est Vol,,,
$25.19,,,,,,,omega,0.00000
$25.75,-0.2677%,0.0008%,0.0045%,0.2907%,0.6706%,,,
$25.75,0.0000%,0.0000%,0.0042%,0.0230%,0.6451%,,,
$25.75,0.0000%,0.0000%,0.0038%,0.0230%,0.6153%,,,
$25.74,-0.0335%,0.0000%,0.0035%,0.0565%,0.5877%,,,
$25.72,-0.1006%,0.0002%,0.0032%,0.1236%,0.5624%,,,
$25.54,-0.7072%,0.0053%,0.0029%,0.7301%,0.5403%,,,
$25.54,0.0000%,0.0000%,0.0032%,0.0230%,0.5658%,,,
$25.54,0.0000%,0.0000%,0.0029%,0.0230%,0.5421%,,,
$25.82,1.1091%,0.0118%,0.0027%,1.0861%,0.5202%,,,
$26.03,0.7989%,0.0060%,0.0036%,0.7760%,0.6029%,,,
$25.85,-0.6731%,0.0048%,0.0039%,0.6961%,0.6245%,,,
$25.85,0.0000%,0.0000%,0.0040%,0.0230%,0.6340%,,,
$25.85,0.0000%,0.0000%,0.0037%,0.0230%,0.6050%,,,
$25.42,-1.6944%,0.0295%,0.0033%,1.7173%,0.5782%,,,
$25.42,0.0000%,0.0000%,0.0059%,0.0230%,0.7680%,,,
$25.59,0.6812%,0.0043%,0.0053%,0.6582%,0.7291%,,,
$25.59,0.0000%,0.0000%,0.0052%,0.0230%,0.7225%,,,
$25.47,-0.4763%,0.0025%,0.0047%,0.4993%,0.6869%,,,
$25.51,0.1363%,0.0001%,0.0045%,0.1134%,0.6720%,,,
$25.18,-1.2682%,0.0167%,0.0041%,1.2912%,0.6411%,,,
$25.18,0.0000%,0.0000%,0.0053%,0.0230%,0.7309%,,,
$25.18,0.0000%,0.0000%,0.0048%,0.0230%,0.6947%,,,
$25.40,0.8587%,0.0070%,0.0044%,0.8357%,0.6612%,,,
$25.51,0.4436%,0.0018%,0.0046%,0.4207%,0.6813%,,,
$25.57,0.2041%,0.0003%,0.0044%,0.1811%,0.6617%,,,
$25.57,0.0000%,0.0000%,0.0040%,0.0230%,0.6330%,,,
$25.57,0.0000%,0.0000%,0.0036%,0.0230%,0.6041%,,,
$25.18,-1.5064%,0.0234%,0.0033%,1.5293%,0.5773%,,,
$25.08,-0.4148%,0.0019%,0.0053%,0.4377%,0.7282%,,,
$24.76,-1.2899%,0.0172%,0.0050%,1.3129%,0.7054%,,,
$24.76,0.0000%,0.0000%,0.0062%,0.0230%,0.7848%,,,
$24.76,0.0000%,0.0000%,0.0055%,0.0230%,0.7448%,,,
$24.41,-1.4135%,0.0206%,0.0050%,1.4364%,0.7076%,,,
$24.61,0.8152%,0.0063%,0.0065%,0.7922%,0.8071%,,,
$25.30,2.7504%,0.0744%,0.0065%,2.7274%,0.8040%,,,
$25.30,0.0000%,0.0000%,0.0130%,0.0230%,1.1387%,,,
$25.36,0.2401%,0.0005%,0.0116%,0.2171%,1.0748%,,,
$25.17,-0.7565%,0.0061%,0.0103%,0.7795%,1.0172%,,,
$25.00,-0.6580%,0.0046%,0.0098%,0.6810%,0.9912%,,,
$25.30,1.1744%,0.0133%,0.0092%,1.1515%,0.9605%,,,
$25.18,-0.4474%,0.0022%,0.0095%,0.4704%,0.9760%,,,
$25.09,-0.3801%,0.0016%,0.0087%,0.4031%,0.9343%,,,
$24.91,-0.7298%,0.0057%,0.0080%,0.7528%,0.8927%,,,
$24.98,0.3134%,0.0008%,0.0077%,0.2905%,0.8768%,,,
$24.98,0.0000%,0.0000%,0.0070%,0.0230%,0.8352%,,,
$24.98,0.0000%,0.0000%,0.0063%,0.0230%,0.7917%,,,
$24.92,-0.2437%,0.0007%,0.0056%,0.2666%,0.7512%,,,
$24.80,-0.4892%,0.0026%,0.0052%,0.5121%,0.7183%,,,
$23.55,-5.1754%,0.2702%,0.0049%,5.1984%,0.7012%,,,
$23.55,0.0000%,0.0000%,0.0304%,0.0230%,1.7444%,,,
$22.85,-3.0334%,0.0934%,0.0270%,3.0563%,1.6418%,,,
$23.04,0.8330%,0.0066%,0.0329%,0.8101%,1.8130%,,,
$23.35,1.3483%,0.0176%,0.0297%,1.3254%,1.7244%,,,
$24.21,3.6168%,0.1292%,0.0280%,3.5939%,1.6742%,,,
$24.21,0.0000%,0.0000%,0.0373%,0.0230%,1.9301%,,,
$24.21,0.0000%,0.0000%,0.0330%,0.0230%,1.8159%,,,
$24.19,-0.0718%,0.0001%,0.0292%,0.0948%,1.7087%,,,
$23.54,-2.7299%,0.0758%,0.0259%,2.7529%,1.6086%,,,
$23.61,0.2948%,0.0007%,0.0302%,0.2718%,1.7384%,,,
$23.61,0.0000%,0.0000%,0.0268%,0.0230%,1.6383%,,,
$23.72,0.4405%,0.0017%,0.0238%,0.4176%,1.5424%,,,
$23.78,0.2561%,0.0005%,0.0213%,0.2331%,1.4582%,,,
$23.58,-0.8439%,0.0075%,0.0189%,0.8669%,1.3755%,,,
$23.43,-0.6284%,0.0042%,0.0175%,0.6513%,1.3238%,,,
$23.61,0.7756%,0.0057%,0.0160%,0.7527%,1.2641%,,,
$23.43,-0.7756%,0.0064%,0.0148%,0.7986%,1.2146%,,,
$23.61,0.7756%,0.0057%,0.0137%,0.7527%,1.1722%,,,
$23.93,1.3521%,0.0177%,0.0128%,1.3292%,1.1304%,,,
$23.93,0.0000%,0.0000%,0.0131%,0.0230%,1.1438%,,,
$23.93,0.0000%,0.0000%,0.0117%,0.0230%,1.0795%,,,
$24.16,0.9393%,0.0084%,0.0104%,0.9163%,1.0195%,,,
