"","VCN.TO","VEE.TO","VFV.TO","VVL.TO","VAB.TO","VBU.TO","XSU.TO"
"133",27.911528,26.794004,50.490463,28.635841,22.827028,22.634348,28.005198
"134",28.144495,26.803169,50.302769,28.802382,22.809088,22.698231,28.456896
"135",28.278902,26.949841,50.049389,28.450796,22.827028,22.789503,28.178188
"136",28.135532,26.812342,50.199535,28.50631,22.764267,22.716484,28.06286
"137",27.938408,26.757343,50.030605,28.256498,22.835993,22.752991,27.86104
"138",28.010088,26.949841,50.039993,28.432291,22.835993,22.762119,28.139748
"139",28.117613,27.014006,49.936764,28.469301,22.862886,22.762119,28.158968
"140",28.001127,27.004835,49.702141,28.256498,22.871861,22.771244,27.947536
"141",28.117613,26.968174,49.739685,28.367523,22.77323,22.707352,28.149359
"142",28.072811,27.014006,50.190155,28.524815,22.782192,22.780369,28.168579
"143",28.010088,26.748175,49.31736,28.099209,22.818064,22.798624,27.764935
"144",27.938408,27.096504,50.199535,28.413786,22.764267,22.661718,27.870649
"145",27.96529,27.133171,50.20892,28.55257,22.710468,22.625221,27.649605
"146",28.22514,27.224834,50.396626,28.571077,22.710468,22.652597,27.774542
"147",28.099695,27.472338,50.09631,28.395285,22.800127,22.743864,27.678438
"148",28.368505,27.454002,50.002449,28.617338,22.701504,22.661718,28.110914
"149",28.413307,27.481503,50.039993,28.635841,22.593912,22.588711,28.351181
"150",28.359543,27.454002,50.143227,28.571077,22.602879,22.643463,28.235851
"151",28.278902,27.536505,50.218307,28.469301,22.638853,22.661718,28.130136
"152",28.001127,27.362341,49.861679,28.21949,22.647831,22.643463,27.774542
"153",27.956326,27.151508,49.401825,27.960424,22.683796,22.661718,27.937923
"154",27.974247,27.316505,49.580135,28.200983,22.692785,22.635176,27.957146
"155",27.96529,27.344,49.486294,27.98818,22.683796,22.671791,27.851429
"156",28.117613,27.509003,49.880451,28.395285,22.701782,22.662636,28.264681
"157",28.081774,27.582338,50.021221,28.284254,22.755718,22.717558,28.034031
"158",28.153458,27.628168,50.330929,28.395285,22.791685,22.772469,27.937923
"159",28.22514,27.829836,50.330929,28.404537,22.908577,22.818237,27.899485
"160",28.386427,27.967335,50.574928,28.589581,22.809669,22.772469,28.283905
"161",28.574594,28.077332,50.574928,28.663601,22.809669,22.726704,28.514559
"162",28.637318,28.196497,50.790783,28.700609,22.746727,22.717558,28.572224
"163",28.700037,28.205664,50.978477,28.857899,22.701782,22.653486,28.658716
"164",28.78964,28.407328,51.260025,29.033691,22.683796,22.626028,28.822098
"165",28.825481,28.333998,51.241257,28.931917,22.746727,22.708399,28.735601
